Section,Card Name,Score,Support,Deck Frequency
Commander,"Kyler, Sigardian Emissary",,,

Additions,,,,
add,Swords to Plowshares,2543,,
add,"Mikaeus, the Lunarch",2177,,
add,Bastion Protector,2148,,
add,Somberwald Sage,2038,,
add,Wild Beastmaster,1903,,
add,"Maja, Bretagard Protector",1823,,
add,Call the Coppercoats,1792,,
add,Temple of Plenty,1732,,
add,Increasing Devotion,1723,,
add,Krosan Verge,1618,,
add,Cultivate,1605,,
add,Castle Ardenvale,1582,,
add,Victory's Envoy,1545,,
add,Augur of Autumn,1490,,
add,Gavony Township,1484,,
add,Path to Exile,1475,,
add,Esper Sentinel,1459,,
add,Champion of the Parish,1438,,
add,Cathars'Crusade,1386,,
add,Myriad Landscape,1380,,

Removals,,,,
remove,Spectacular Spider-Man,,0,0
remove,Cave of the Frost Dragon,,9,31
remove,End-Raze Forerunners,,15,736
remove,Anthem of Champions,,17,20
remove,Magus of the Order,,20,70
remove,Extraction Specialist,,23,28
remove,Selfless Spirit,,26,764
remove,Park Heights Maverick,,30,34
remove,Crusader of Odric,,32,35
remove,Luminous Broodmoth,,41,285
remove,Siege Veteran,,57,65
remove,Resistance Squad,,70,70
remove,Banner of Kinship,,84,600
remove,Sungold Sentinel,,97,100
remove,Sun Titan,,102,628
remove,Unnatural Growth,,112,462
remove,"Myrel, Shield of Argive",,114,297
remove,Savior of Ollenbock,,128,132
remove,Together Forever,,180,206
remove,Weathered Wayfarer,,228,829
