Section,Card Name,Score,Support,Deck Frequency,Popularity,Specificity,Synergy,Structure,Similarity,Reason
Commander,"Omnath, Locus of Creation",,,,,,,,,

Additions,,,,,,,,,,
add,Stomping Ground,1349,,,0.9303,0.9201,0.1705,0.0,0.7674,Très présente dans les decks similaires.
add,Steam Vents,1251,,,0.839,0.9067,0.1495,0.0,0.6675,Carte spécifique à ce commandant.
add,Lotus Cobra,1230,,,1.0,0.2772,0.4795,0.0,1.0,Très présente dans les decks similaires.
add,Breeding Pool,1174,,,0.9721,0.1617,0.5945,0.0,0.7719,Très présente dans les decks similaires.
add,Dryad of the Ilysian Grove,1173,,,0.8808,0.5647,0.2503,0.0,0.8537,Très présente dans les decks similaires.
add,Windswept Heath,1159,,,0.9861,0.1717,0.516,0.0,0.7815,Très présente dans les decks similaires.
add,Ancient Greenwarden,1150,,,0.8375,0.5929,0.2429,0.0,0.8627,Présente dans les decks les plus proches du vôtre.
add,"Mina and Denn,Wildborn",1141,,,0.6409,0.9983,0.1432,0.0,0.7179,Carte spécifique à ce commandant.
add,Ramunap Excavator,1130,,,0.8483,0.5233,0.2612,0.0,0.8531,Présente dans les decks les plus proches du vôtre.
add,Arid Mesa,1121,,,0.9628,0.3297,0.2747,0.0,0.7565,Très présente dans les decks similaires.
add,Temple Garden,1118,,,0.9288,0.176,0.528,0.0,0.7564,Très présente dans les decks similaires.
add,Exploration,1101,,,0.8777,0.3956,0.3021,0.0,0.8033,Très présente dans les decks similaires.
add,Scalding Tarn,1092,,,0.9489,0.2912,0.2857,0.0,0.7347,Très présente dans les decks similaires.
add,"Omnath, Locus of the Roil",1091,,,0.596,1.0,0.128,0.0,0.6347,Carte spécifique à ce commandant.
add,Wooded Foothills,1080,,,0.9381,0.269,0.3045,0.0,0.7331,Très présente dans les decks similaires.
add,Flooded Strand,1055,,,0.9102,0.2069,0.3834,0.0,0.6999,Très présente dans les decks similaires.
add,Hallowed Fountain,1035,,,0.8715,0.2663,0.3368,0.0,0.6951,Très présente dans les decks similaires.
add,Crop Rotation,983,,,0.8142,0.2084,0.3841,0.0,0.7358,Très présente dans les decks similaires.
add,Farseek,976,,,0.7353,0.1383,0.6046,0.0,0.7703,Présente dans les decks les plus proches du vôtre.
add,Raugrin Triome,968,,,0.5325,0.8981,0.1085,0.0,0.4922,Carte spécifique à ce commandant.

Removals,,,,,,,,,,
remove,Sapling Nursery,,0,0,,,,,,
remove,Vibrance,,0,0,,,,,,
remove,Summon: Fenrir,,0,0,,,,,,
remove,"Mina and Denn, Wildborn",,0,0,,,,,,
remove,Quandrix Cultivator,,7,36,,,,,,
remove,"Jolrael, Voice of Zhalfir",,9,247,,,,,,
remove,Kenrith's Transformation,,11,796,,,,,,
remove,"Shigeki, Jukai Visionary",,12,79,,,,,,
remove,Traverse the Outlands,,17,157,,,,,,
remove,Wayfarer's Bauble,,17,2203,,,,,,
remove,Zell Dincht,,25,25,,,,,,
remove,Far Wanderings,,30,53,,,,,,
remove,Turntimber Symbiosis,,32,811,,,,,,
remove,Nahiri's Lithoforming,,46,51,,,,,,
remove,Naya Panorama,,48,79,,,,,,
remove,Mossborn Hydra,,64,156,,,,,,
remove,"Obuun, Mul Daya Ancestor",,70,71,,,,,,
remove,Case of the Locked Hothouse,,72,144,,,,,,
remove,Blighted Woodland,,81,1389,,,,,,
remove,Chaos Warp,,85,2230,,,,,,
